,id,review,classification
0,AVpf3txeLJeJML43FN82,keyboard easy type fingerprint reader good feature accurate simplify login,positive
1,AVpf3txeLJeJML43FN82,thin light type pretty easily,trust
2,AVpf3txeLJeJML43FN82,love new design key space mis type finger print recognition work ok use surface pro 3,positive
3,AVpf3txeLJeJML43FN82,attach easily firmly nice feel surface pro,fear
4,AVpf3txeLJeJML43FN82,original keyboard okay laptop feel bit floppy new solid feel key laptop like,positive
5,AVpf3txeLJeJML43FN82,purchase replace original surface pro 3 keyboard well feel fingerprint reader handy feature,positive
6,AVpf3txeLJeJML43FN82,find comfortable type rarely use fingerprint id,fear
7,AVpf3txeLJeJML43FN82,good keyboard addition surface pro platform desire fingerprint scanner access use surface pro keyboard fingerprint scanner work fine,trust
8,AVpf3txeLJeJML43FN82,tough get work surface pro 3 work bug love spacing large touchpad,negative
9,AVpf3txeLJeJML43FN82,quickly hassle free log surface finger print scanner work time problem get recognize fingerprint key space huge plus,fear
10,AVpf3txeLJeJML43FN82,accessory surface pro computer,fear
11,AVpf3txeLJeJML43FN82,fingerprint scanner price worth good keyboard fp scanner standard,positive
12,AVpf3txeLJeJML43FN82,keyboard feel surprisingly good consider thin key satisfy tactile response feel rubbery build quality excellent type cover rigid normal keyboard feel bend break overall excellent product complaint fingerprint reader consistently read finger scan finger 3 4 time read thankfully scanning process fast leave desire software problem hard say product 4/5 star,positive
13,AVpf3txeLJeJML43FN82,like fingerprint id make log easy fast key keyboard smooth,fear
14,AVpf3txeLJeJML43FN82,good product expensive easy setup plenty nice feature,positive
15,AVpf3txeLJeJML43FN82,best keyboard tablet connect,fear
16,AVpf3txeLJeJML43FN82,keyboard work perfectly complaint nice touch key illumination right,anger
17,AVpf3txeLJeJML43FN82,come mechanical switch keyboard thinkpads type upwards 120 wpm picky keyboard having try type cover keyboard clearly good well lot laptop keyboard market tactile audible feedback key travel effective palm rejection size keyboard easy toggling row special key function key press fn key large glassy smooth touchpad backlight bonus fingerprint reader easy biometric log thin light package perfect surface pro 4 backwards compatible surface pro 3,positive
18,AVpf3txeLJeJML43FN82,keyboard solid work great love cover,positive
19,AVpf3txeLJeJML43FN82,surface pro 4 surface pro 3 treat decide new pen keyboard windows hello feature work flawlessly second typing experience completely different wonder microsoft start recommend keyboard change typing experience surface line product,positive
20,AVpf3txeLJeJML43FN82,good keyboard like fingerprint reader fast accurate,positive
21,AVpf3txeLJeJML43FN82,buy surface pro 4 windows hello extra login option love type cover feel great hand carry key feel like real laptop highly recommend sp4 sp3 user,positive
22,AVpf3txeLJeJML43FN82,buy surface pro 3 awesome keyboard give feel keyboard key space apart fingerprint simply awesome recognize fingerprint fast wish window application utilize feature near future like ios app iphone,positive
23,AVpf3txeLJeJML43FN82,lightweight responsive especially like lighted key function excellent unit,trust
24,AVpf3txeLJeJML43FN82,work surface pro 3 feel great scanner work,fear
25,AVpf3txeLJeJML43FN82,far keyboard fantastic problem key spacing feel fairly natural complaint keyboard,negative
26,AVpf3txeLJeJML43FN82,great keyboard fingerprint reader quick accurate,positive
27,AVpf3txeLJeJML43FN82,encounter wrong occasionally touch pad little sensitive,positive
28,AVpf3txeLJeJML43FN82,key feel like size keyboard use touchpad fingerprint reader work advertise,positive
29,AVpf3txeLJeJML43FN82,good keyboard fingerprint scanner work sp3,trust
30,AVpf3txeLJeJML43FN82,surface pro 3 far good typing cover device finally feel like real keyboard finger print sensor work nice extra backlit great,trust
31,AVpf3txeLJeJML43FN82,keyboard necessary device come free device,fear
32,AVpf3txeLJeJML43FN82,key wider space backlighte well fingerprint reader work super keyboard stiff improve product original surface pro 3 keyboard worth penny extra cost,positive
33,AVpf3txeLJeJML43FN82,key great fingerprint recognition generally work fingerprint like way keyboard click surface pro,fear
34,AVpf3txeLJeJML43FN82,trackpad vast improvement surface 3 type keyboard keypad vastly improve,trust
35,AVpf3txeLJeJML43FN82,great product overall fingerprint scanner work like charm issue whatsoever great design,positive
36,AVpf3txeLJeJML43FN82,accessory plan surface,anticipation
37,AVpf3txeLJeJML43FN82,keyboard work great surface pro 4 provide security comfortable work key spacing good,trust
38,AVpf3txeLJeJML43FN82,have couple surface(s keyboard good love fingerprint id log feel key responsive compare old keyboard version,positive
39,AVpf3txeLJeJML43FN82,wish work seperate tablet way bluetooth connection,fear
40,AVpf3txeLJeJML43FN82,nice keyboard fingerprint reading work windows 10,positive
41,AVpf3txeLJeJML43FN82,upgrade current surface 2 pro difference obvious key feel great responsive bit expensive surface cheap highly recommend,trust
42,AVpf3txeLJeJML43FN82,great feeling easy type keyboard lighting nice variable brightness level turn mouse pad smooth responsive decently large add fingerprint scanner nice feature sign surface accurate add multiple fingerprint use,positive
43,AVpf3txeLJeJML43FN82,hear surface pro 4 keyboard work surface pro 3 intrigue purchase keyboard impressed greatly keyboard well layout well feel bit accurate fingerprint d feature add bonus surface pro 3 4 owner keyboard worth price,positive
44,AVpf3txeLJeJML43FN82,purchase surface pro 3 year weak link product type cover trackpad small key close new type cover change game trackpad large responsive long carry wireless mouse key well space fingerprint reader make unlock system breeze cover backwards compatible pro 3 4 away star store pen think upgrade surface pro 3 owner greatly improve usability product,trust
45,AVpf3txeLJeJML43FN82,like key spacing fingerprint reader work great,positive
46,AVpf3txeLJeJML43FN82,wonderful keyboard love fingerprint unlock,positive
47,AVpf3txeLJeJML43FN82,like smooth key board fingerprint logon easy use quiet smooth,positive
48,AVpf3txeLJeJML43FN82,give 5 star figure adjust mouse pad sensitivity update microsoft hopefully come soon get big deal anymore,positive
49,AVpf3txeLJeJML43FN82,easy use regular tablet touch screen snap ease,positive
50,AVpf3txeLJeJML43FN82,addition fingerprint reader well spaced key large track pad great improvement previous surface pro 3 type cover,positive
51,AVpf3txeLJeJML43FN82,keyboard touchpad buy surface,fear
52,AVpf3txeLJeJML43FN82,keyboard keyboard get magnetic connection surface pro 4 time function sure keyboard issue tablet issue way major pita keyboard work soon connect tablet stop work mid typing session glitch experience surface pro 4 inclined believe tablet problem replace surface pro 4 brand new experience glitch keyboard replace keyboard faulty product,negative
53,AVpf3txeLJeJML43FN82,work great typing make easy sign windows fingerprint sensor,fear
